date,maxTemp,minTemp,pressure,humidity,visibility,dewPoint,cloudCover,windSpeed,windBearing,icon
2018-07-19 09:21:43.364410,81.92,74.68,1009.47,0.93,2.12,74.84,0.99,2.51,293,rain
2018-07-18 09:21:43.364410,83.66,74.67,1009.11,0.91,2.99,75.25,0.91,4.13,294,rain
2018-07-17 09:21:43.364410,83.48,74.99,1008.82,0.9,2.45,75.08,0.95,5.43,291,rain
2018-07-16 09:21:43.364410,82.08,75.28,1008.5,0.91,2.2,75.08,1.0,6.0,283,rain
2018-07-15 09:21:43.364410,78.66,75.55,1007.91,0.93,2.06,74.64,0.96,4.9,293,rain
2018-07-14 09:21:43.364410,85.22,75.01,1008.09,0.87,2.81,74.94,0.88,5.17,286,rain
2018-07-13 09:21:43.364410,85.53,74.89,1008.71,0.87,2.29,75.0,0.92,5.09,272,rain
2018-07-12 09:21:43.364410,85.75,74.88,1008.91,0.86,3.14,74.85,0.93,5.23,277,rain
2018-07-11 09:21:43.364410,79.79,74.89,1009.68,0.91,2.0,74.35,0.99,3.59,275,rain
2018-07-10 09:21:43.364410,79.79,74.8,1009.27,0.92,2.15,74.77,1.0,4.36,249,rain
2018-07-09 09:21:43.364410,78.24,74.95,1008.25,0.93,1.86,74.34,0.99,3.91,285,rain
2018-07-08 09:21:43.364410,81.36,75.43,1008.09,0.92,2.47,75.12,1.0,4.82,281,rain
2018-07-07 09:21:43.364410,82.37,74.88,1008.63,0.87,3.06,74.8,0.9,4.16,295,rain
2018-07-06 09:21:43.364410,89.23,77.14,1009.31,0.8,5.57,74.9,0.76,5.37,298,rain
2018-07-05 09:21:43.364410,89.06,76.12,1009.73,0.77,5.84,73.96,0.63,4.86,302,partly-cloudy-day
2018-07-04 09:21:43.364410,88.87,76.01,1009.94,0.79,5.35,74.82,0.67,4.42,309,partly-cloudy-day
2018-07-03 09:21:43.364410,86.82,76.18,1009.13,0.8,4.72,74.23,0.76,3.37,301,partly-cloudy-day
2018-07-02 09:21:43.364410,86.68,75.68,1008.77,0.84,3.91,74.78,0.83,2.41,286,rain
2018-07-01 09:21:43.364410,86.2,75.81,1008.65,0.84,3.57,75.58,0.86,2.61,289,rain
2018-06-30 09:21:43.364410,87.36,76.07,1008.32,0.82,4.78,74.06,0.88,2.88,292,rain
2018-06-29 09:21:43.364410,82.2,74.68,1007.99,0.88,4.01,74.72,0.89,0.65,209,rain
2018-06-28 09:21:43.364410,80.03,75.94,1008.0,0.91,2.66,74.73,0.98,0.87,73,rain
2018-06-27 09:21:43.364410,84.5,75.43,1007.86,0.87,3.64,75.03,0.9,1.87,256,rain
2018-06-26 09:21:43.364410,88.02,75.56,1008.32,0.83,3.76,74.85,0.84,4.02,290,rain
2018-06-25 09:21:43.364410,86.6,75.11,1009.05,0.87,3.39,75.1,0.86,2.43,269,rain
2018-06-24 09:21:43.364410,86.69,74.45,1009.05,0.83,4.15,74.79,0.72,3.01,273,rain
2018-06-23 09:21:43.364410,82.93,75.65,1008.45,0.9,3.33,75.06,0.91,1.18,327,rain
2018-06-22 09:21:43.364410,84.2,75.77,1008.57,0.88,4.3,74.62,0.93,0.49,56,rain
2018-06-21 09:21:43.364410,80.62,75.65,1008.84,0.91,2.17,74.58,0.98,1.42,287,rain
2018-06-20 09:21:43.364410,83.44,74.94,1009.2,0.91,2.1,75.46,0.93,1.21,216,rain
2018-06-19 09:21:43.364410,81.44,76.04,1008.86,0.92,1.87,75.64,0.86,2.0,90,fog
